Collection,"""Observation ID""",Target,RA,Dec,"""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release"""
DAO,dao_c182_1999_016768,1999 VF22,19.375894390404106,17.210653483778458,5.65E-7,6.95E-7,,,2000-12-02T05:52:49.000
DAO,dao_c182_1999_016769,1999 VF22,19.379019397295107,17.210597920163494,5.65E-7,6.95E-7,,,2000-12-02T05:54:14.000
DAO,dao_c182_1999_016770,1999 VF22,19.375894389074556,17.210292372667595,5.65E-7,6.95E-7,,,2000-12-02T05:55:38.000
DAO,dao_c182_1999_016771,1999 VF22,19.379311062479726,17.21001458607789,5.65E-7,6.95E-7,,,2000-12-02T05:57:03.000
DAO,dao_c182_1999_016772,1999 VT25,20.796879723838828,-1.2935169763239287,5.65E-7,6.95E-7,,,2000-12-02T06:01:37.000
DAO,dao_c182_1999_016773,1999 VT25,20.798879724113203,-1.2932947596218725,5.65E-7,6.95E-7,,,2000-12-02T06:02:42.000
DAO,dao_c182_1999_016774,1999 VT25,20.798004724179293,-1.29332253498454,5.65E-7,6.95E-7,,,2000-12-02T06:03:47.000
DAO,dao_c182_1999_016775,1999 VT25,20.796171391070466,-1.2933503077023687,5.65E-7,6.95E-7,,,2000-12-02T06:04:52.000
DAO,dao_c182_1999_016776,1999 VT25,20.798338057300775,-1.293378091460184,5.65E-7,6.95E-7,,,2000-12-02T06:05:56.000
DAO,dao_c182_1999_016777,1999 VT25,20.798129723938963,-1.293405868662802,5.65E-7,6.95E-7,,,2000-12-02T06:07:01.000
DAO,dao_c182_1999_016778,1999 VT25,20.795296391059452,-1.2934058608430805,5.65E-7,6.95E-7,,,2000-12-02T06:08:05.000
DAO,dao_c182_1999_016779,1999 VT25,20.79750472389997,-1.2934614224932517,5.65E-7,6.95E-7,,,2000-12-02T06:09:10.000
DAO,dao_c182_1999_016780,1999 VT25,20.798046389700165,-1.2937392017663143,5.65E-7,6.95E-7,,,2000-12-02T06:10:15.000
DAO,dao_c182_1999_016781,1999 VT25,20.797921390243793,-1.2935447569768712,5.65E-7,6.95E-7,,,2000-12-02T06:11:19.000
DAO,dao_c182_1999_016782,1999 VT25,20.798463056848963,-1.293544758471711,5.65E-7,6.95E-7,,,2000-12-02T06:12:24.000
DAO,dao_c182_1999_016783,1999 VT25,20.795546390505162,-1.293600305977364,5.65E-7,6.95E-7,,,2000-12-02T06:13:29.000
DAO,dao_c182_1999_016784,1999 VT25,20.79937972312601,-1.2936280943353322,5.65E-7,6.95E-7,,,2000-12-02T06:14:35.000
DAO,dao_c182_1999_016785,1999 VT25,20.800129723006155,-1.2936280964055413,5.65E-7,6.95E-7,,,2000-12-02T06:15:39.000
DAO,dao_c182_1999_016786,1999 VT25,20.79679639067058,-1.293461420538378,5.65E-7,6.95E-7,,,2000-12-02T06:16:44.000
DAO,dao_c182_1999_016787,1999 VT25,20.800213056177327,-1.293683652191163,5.65E-7,6.95E-7,,,2000-12-02T06:17:49.000
DAO,dao_c182_1999_016788,1999 VT25,20.79771305651679,-1.2937114230683164,5.65E-7,6.95E-7,,,2000-12-02T06:18:54.000
DAO,dao_c182_1999_016789,1999 VT25,20.798629722879024,-1.2937669811540216,5.65E-7,6.95E-7,,,2000-12-02T06:19:59.000
DAO,dao_c182_1999_016790,ss-762,56.30567546807977,17.67909152167964,5.65E-7,6.95E-7,,,2000-12-02T06:24:44.000
DAO,dao_c182_1999_016791,ss-762,56.305883805247745,17.6795359647799,5.65E-7,6.95E-7,,,2000-12-02T06:26:09.000
DAO,dao_c182_1999_016792,ss-762,56.308592141862555,17.67948039170649,5.65E-7,6.95E-7,,,2000-12-02T06:27:33.000
DAO,dao_c182_1999_016793,ss-762,56.303342135320904,17.679563758990696,5.65E-7,6.95E-7,,,2000-12-02T06:28:58.000
DAO,dao_c182_1999_016794,ss-762,56.307758804272474,17.679091508207364,5.65E-7,6.95E-7,,,2000-12-02T06:30:23.000
DAO,dao_c122_2006_009340,chi oph,246.7682142456591,-18.467704423184387,6.132875E-7,6.762875E-7,,,2007-06-26T06:32:30.000
DAO,dao_c182_1999_016795,ss-762,56.30605047081627,17.679369297032633,5.65E-7,6.95E-7,,,2000-12-02T06:31:48.000
DAO,dao_c182_1999_016796,ss-762,56.30388380138867,17.6793970888253,5.65E-7,6.95E-7,,,2000-12-02T06:33:13.000
DAO,dao_c182_1999_016797,ss-762,56.30775880316186,17.678952619318267,5.65E-7,6.95E-7,,,2000-12-02T06:34:38.000
DAO,dao_c182_1999_016798,ss-762,56.30400880155873,17.679397088017623,5.65E-7,6.95E-7,,,2000-12-02T06:36:02.000
DAO,dao_c182_1999_016799,ss-762,56.30542546662241,17.678952634408745,5.65E-7,6.95E-7,,,2000-12-02T06:37:27.000
DAO,dao_c182_1999_016800,ss-762,56.301092127553204,17.678980440212115,5.65E-7,6.95E-7,,,2000-12-02T06:38:52.000
DAO,dao_c182_1999_016801,ss-762,56.305550467009304,17.678980411381147,5.65E-7,6.95E-7,,,2000-12-02T06:40:16.000
DAO,dao_c182_1999_016802,ss-762,56.30534213694974,17.679424857171057,5.65E-7,6.95E-7,,,2000-12-02T06:41:41.000
DAO,dao_c182_1999_016803,ss-762,56.304633799312825,17.679008195084,5.65E-7,6.95E-7,,,2000-12-02T06:43:05.000
DAO,dao_c182_1999_016804,ss-762,56.30325880097759,17.679452648421346,5.65E-7,6.95E-7,,,2000-12-02T06:44:29.000
DAO,dao_c182_1999_016805,ss-762,56.303175463971655,17.679008204516947,5.65E-7,6.95E-7,,,2000-12-02T06:45:54.000
DAO,dao_c182_1999_016806,ss-762,56.303383797593064,17.67900820316885,5.65E-7,6.95E-7,,,2000-12-02T06:47:19.000
DAO,a2023_06_20_04_40_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2023-06-20T04:40:00.000
DAO,dao_c182_1999_016807,ss-762,56.305133803779704,17.67948041407176,5.65E-7,6.95E-7,,,2000-12-02T06:48:44.000
DAO,dao_c182_1999_016808,ss-762,56.30346713525863,17.679535980409653,5.65E-7,6.95E-7,,,2000-12-02T06:50:09.000
DAO,dao_c182_1999_016809,ss-762,56.303883798276516,17.67900819993686,5.65E-7,6.95E-7,,,2000-12-02T06:51:34.000
DAO,dao_c182_1999_016810,ss-762,56.301092131551,17.67948044021304,5.65E-7,6.95E-7,,,2000-12-02T06:52:58.000
DAO,dao_c122_2006_009341,alp sco,247.3640798263131,-26.433331050577408,6.132875E-7,6.762875E-7,,,2007-06-26T06:34:51.000
DAO,dao_c182_1999_016811,ss-762,56.305550467239904,17.679008189155326,5.65E-7,6.95E-7,,,2000-12-02T06:54:24.000
DAO,dao_c122_2006_009342,bebet her,247.36320493486403,-26.433330537034905,6.132875E-7,6.762875E-7,,,2007-06-26T06:36:11.000
DAO,a2022_08_04_06_50_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-04T06:50:00.000
DAO,dao_c122_2006_009343,bet her,247.36149634126633,-26.433968429705207,6.132875E-7,6.762875E-7,,,2007-06-26T06:37:45.000
DAO,dao_c182_1999_016812,ss-762,56.301300464953805,17.679452661085634,5.65E-7,6.95E-7,,,2000-12-02T06:55:48.000
DAO,dao_c182_1999_016813,ss-762,56.30338380114959,17.679452647612848,5.65E-7,6.95E-7,,,2000-12-02T06:57:13.000
DAO,dao_c182_1999_016814,ss-762,56.3010504606078,17.678952662703452,5.65E-7,6.95E-7,,,2000-12-02T06:58:39.000
DAO,dao_c182_1999_016815,ss-762,56.30200879525837,17.67895265650584,5.65E-7,6.95E-7,,,2000-12-02T07:00:04.000
DAO,dao_c182_1999_016816,ss-762,56.30234212927721,17.67898043212567,5.65E-7,6.95E-7,,,2000-12-02T07:01:30.000
DAO,dao_c182_1999_016817,ss-762,56.30192546203029,17.678980434823558,5.65E-7,6.95E-7,,,2000-12-02T07:02:55.000
DAO,dao_c182_1999_016818,ss-762,56.30213379520228,17.678924877922103,5.65E-7,6.95E-7,,,2000-12-02T07:04:20.000
DAO,dao_c182_1999_016819,ss-762,56.30055045992508,17.678952665935014,5.65E-7,6.95E-7,,,2000-12-02T07:05:45.000
DAO,dao_c122_2006_009345,bet her,247.36149682753336,-26.43330176254429,6.132875E-7,6.762875E-7,,,2007-06-26T06:40:32.000
DAO,dao_c182_1999_016836,1999 VU25,75.68685521796775,7.14812121682867,5.65E-7,6.95E-7,,,2000-12-02T09:02:19.000
DAO,dao_c122_2006_009346,zet oph,249.3012153975065,-10.579661531703337,6.132875E-7,6.762875E-7,,,2007-06-26T06:42:02.000
DAO,dao_c182_1999_016837,1999 VU25,75.68998021982995,7.148260082179547,5.65E-7,6.95E-7,,,2000-12-02T09:04:13.000
DAO,dao_c182_1999_016838,1999 VU25,75.68881355243381,7.148204535413797,5.65E-7,6.95E-7,,,2000-12-02T09:06:09.000
DAO,dao_c182_1999_016839,1999 VU25,75.68660521835285,7.148176774266233,5.65E-7,6.95E-7,,,2000-12-02T09:08:03.000
DAO,dao_c182_1999_016840,1999 VU25,75.6879802202366,7.148371208353949,5.65E-7,6.95E-7,,,2000-12-02T09:09:58.000
DAO,dao_c182_1999_016841,1999 VU25,75.68956355151623,7.148065640870925,5.65E-7,6.95E-7,,,2000-12-02T09:11:54.000
DAO,dao_c182_1999_016842,1999 VU25,75.69131355348514,7.148260072136409,5.65E-7,6.95E-7,,,2000-12-02T09:13:48.000
DAO,dao_c182_1999_016843,1999 VU25,75.69123021769478,7.147954517207651,5.65E-7,6.95E-7,,,2000-12-02T09:15:43.000
DAO,dao_c182_1999_016844,1999 VU25,75.68631354939717,7.147898998686146,5.65E-7,6.95E-7,,,2000-12-02T09:17:38.000
DAO,a2022_08_04_07_00_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-04T07:00:00.000
DAO,dao_c182_1999_016845,1999 VU25,75.68789688266978,7.147843431204378,5.65E-7,6.95E-7,,,2000-12-02T09:19:33.000
DAO,dao_c182_1999_016846,1999 VU25,75.68893854914235,7.1477878678037134,5.65E-7,6.95E-7,,,2000-12-02T09:21:27.000
DAO,dao_c182_1999_016847,1999 VU25,75.68652188145181,7.1477323304497,5.65E-7,6.95E-7,,,2000-12-02T09:23:22.000
DAO,dao_c182_1999_016848,1999 VU25,75.6893135483511,7.147676753865554,5.65E-7,6.95E-7,,,2000-12-02T09:25:18.000
DAO,dao_c182_1999_016849,1999 VU25,75.69102188142517,7.147593407667614,5.65E-7,6.95E-7,,,2000-12-02T09:27:12.000
DAO,dao_c182_1999_016850,1999 VU25,75.68602187977572,7.147537889772991,5.65E-7,6.95E-7,,,2000-12-02T09:29:07.000
DAO,dao_c182_1999_016851,1999 VU25,75.68956354663314,7.147454529762514,5.65E-7,6.95E-7,,,2000-12-02T09:31:01.000
DAO,dao_c182_1999_016852,1999 VU25,75.68902187939206,7.147398978287086,5.65E-7,6.95E-7,,,2000-12-02T09:32:56.000
DAO,dao_c182_1999_016853,1999 VU25,75.68652187813032,7.147315663781043,5.65E-7,6.95E-7,,,2000-12-02T09:34:51.000
DAO,dao_c182_1999_016854,1999 VU25,75.69018854523479,7.147260080609073,5.65E-7,6.95E-7,,,2000-12-02T09:36:45.000
DAO,dao_c182_1999_016855,1999 VU25,75.69360521183339,7.14714894376509,5.65E-7,6.95E-7,,,2000-12-02T09:38:40.000
DAO,dao_c182_1999_016856,1999 VU25,75.68693854311721,7.147093438423696,5.65E-7,6.95E-7,,,2000-12-02T09:40:35.000
DAO,dao_c182_1999_016857,1999 VU25,75.69048020887023,7.146871189522159,5.65E-7,6.95E-7,,,2000-12-02T09:42:29.000
DAO,dao_c182_1999_016858,1999 VU25,75.68610520692982,7.146760111363576,5.65E-7,6.95E-7,,,2000-12-02T09:44:24.000
DAO,dao_c182_1999_016859,1999 VU25,75.68681353976304,7.146676772697844,5.65E-7,6.95E-7,,,2000-12-02T09:46:20.000
DAO,dao_c182_1999_016860,1999 VU25,75.69173020694916,7.146593402331675,5.65E-7,6.95E-7,,,2000-12-02T09:48:14.000
DAO,dao_c182_1999_016861,1999 VU25,75.6886052057525,7.146537870314218,5.65E-7,6.95E-7,,,2000-12-02T09:50:08.000
DAO,dao_c182_1999_016862,1999 VU25,75.68881353847138,7.146454535411479,5.65E-7,6.95E-7,,,2000-12-02T09:52:03.000
DAO,dao_c182_1999_016863,1999 VU25,75.68539687031512,7.146371227813162,5.65E-7,6.95E-7,,,2000-12-02T09:53:58.000
DAO,a2021_12_27_17_10_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2021-12-27T17:10:01.000
DAO,dao_c182_1999_016864,1999 VU25,75.68756353684144,7.146287878159199,5.65E-7,6.95E-7,,,2000-12-02T09:55:52.000
DAO,dao_c182_1999_016865,1999 VU25,75.69143853710551,7.146204515641088,5.65E-7,6.95E-7,,,2000-12-02T09:57:47.000
DAO,dao_c182_1999_016873,1999 NB5,106.03926504726978,20.841915832942224,5.65E-7,6.95E-7,,,2000-12-02T11:25:36.000
DAO,dao_c182_1999_016874,1999 NB5,106.03989004595249,20.841832494934394,5.65E-7,6.95E-7,,,2000-12-02T11:27:31.000
DAO,dao_c122_2006_009350,Zaracycle,249.2975914331264,-10.57821494245303,6.132875E-7,6.762875E-7,,,2007-06-26T06:56:45.000
DAO,dao_c122_2006_009349,r lyr,283.85400556354296,43.93986181210028,6.132875E-7,6.762875E-7,,,2007-06-26T06:53:03.000
DAO,a2024_01_02_16_00_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2024-01-02T15:59:59.000
DAO,a2022_08_12_05_30_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T05:29:58.000
DAO,dao_c122_2006_009353,Zata Oph,249.29867489112456,-10.577937805968801,6.132875E-7,6.762875E-7,,,2007-06-26T07:29:32.000
DAO,a2022_08_12_05_40_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T05:39:58.000
DAO,a2022_08_12_05_50_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T05:49:58.000
DAO,dao_c122_2006_009352,22 vul,303.8949711243828,23.504881130862216,6.132875E-7,6.762875E-7,,,2007-06-26T07:15:01.000
DAO,a2022_08_12_06_00_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T05:59:58.000
DAO,dao_c182_2022_018989,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:11.000
DAO,a2022_08_12_06_10_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T06:09:58.000
DAO,dao_c182_2022_018988,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:04.000
DAO,dao_c182_2022_018990,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:18.000
DAO,dao_c182_2022_018991,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:25.000
DAO,dao_c182_2022_018992,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:32.000
DAO,dao_c122_2006_009356,zeta oph,249.2993424325582,-10.576465978164123,6.132875E-7,6.762875E-7,,,2007-06-26T07:59:37.000
DAO,a2020_12_24_21_30_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2020-12-24T21:30:00.000
DAO,a2020_12_24_21_40_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2020-12-24T21:40:01.000
DAO,dao_c182_2022_018994,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:47.000
DAO,dao_c182_2022_018993,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:40.000
DAO,dao_c182_2022_018995,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:11:54.000
DAO,dao_c182_2022_018996,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:01.000
DAO,dao_c182_2022_018997,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:08.000
DAO,dao_c182_2022_018998,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:15.000
DAO,dao_c122_2006_009357,th-ar arc,,,6.132875E-7,6.762875E-7,,,2006-06-26T08:04:20.000
DAO,dao_c182_2022_018999,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:23.000
DAO,dao_c182_2022_019000,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:30.000
DAO,dao_c182_2022_019001,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:37.000
DAO,dao_c182_2022_019002,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:44.000
DAO,dao_c182_2022_019003,bias,,,,,DAO182_2022C4,Bohlender,2022-08-12T06:12:51.000
DAO,dao_c122_2006_009359,th-ar arc,,,6.132875E-7,6.762875E-7,,,2006-06-26T08:05:09.000
DAO,dao_c182_2022_019004,Fe/Ar @ HD 183614,,,4.730125E-7,5.007625E-7,DAO182_2022C4,Bohlender,2022-08-12T06:25:23.000
DAO,a2022_08_12_06_20_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T06:19:58.000
DAO,dao_c182_2020_024807,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:41:39.000
DAO,dao_c182_2020_024805,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:40:24.000
DAO,dao_c182_2020_024806,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:41:02.000
DAO,dao_c182_2020_024803,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:39:08.000
DAO,dao_c182_2020_024804,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:39:46.000
DAO,dao_c182_2022_019005,HD 183614,292.260907678722,30.29073019045331,4.730125E-7,5.007625E-7,DAO182_2022C4,Bohlender,2023-08-12T06:38:22.000
DAO,a2022_08_12_06_30_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T06:29:58.000
DAO,dao_c182_2020_024810,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:43:33.000
DAO,dao_c182_2020_024811,A2019T1(150@186),273.71679585537925,30.22314239856859,5.55E-7,6.85E-7,DAO182_2020D1,Balam,2021-10-31T01:49:39.000
DAO,a2020_10_31_01_50_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2020-10-31T01:49:57.000
DAO,dao_c122_2006_009362,th-ar arc,,,6.132875E-7,6.762875E-7,,,2006-06-26T08:06:23.000
DAO,dao_c182_2020_024809,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:42:55.000
DAO,dao_c182_2020_024808,bias,,,,,DAO182_2020D1,Balam,2020-10-31T01:42:17.000
